,type,de,para,zmed,prec,i_de,i_para
1482,0,6062,-1,0.0,0.0,808,-9
1512,0,6315,-1,0.0,0.0,32,-9
1569,0,6748,-1,0.0,0.0,71,-9
1511,0,6316,-1,0.0,0.0,810,-9
1595,0,7106,-1,0.0,0.0,1107,-9
1115,0,426,-1,0.0,0.0,1137,-9
1116,0,427,-1,0.0,0.0,1085,-9
1117,0,431,-1,0.0,0.0,696,-9
1106,0,410,-1,0.0,0.0,729,-9
1107,0,412,-1,0.0,0.0,1083,-9
1294,0,2035,-1,0.0,0.0,723,-9
1112,0,425,-1,0.0,0.0,726,-9
1168,0,629,-1,0.0,0.0,707,-9
1166,0,625,-1,0.0,0.0,716,-9
1165,0,623,-1,0.0,0.0,1078,-9
1166,0,627,-1,0.0,0.0,742,-9
1139,0,551,-1,0.0,0.0,703,-9
1165,0,667,-1,0.0,0.0,1072,-9
1163,0,612,-1,0.0,0.0,961,-9
1808,0,9892,-1,0.0,0.0,429,-9
1169,0,827,-1,0.0,0.0,464,-9
1179,0,884,-1,0.0,0.0,451,-9
1168,0,819,-1,0.0,0.0,968,-9
1167,0,814,-1,0.0,0.0,433,-9
1178,0,889,-1,0.0,0.0,981,-9
1217,0,1028,-1,0.0,0.0,466,-9
1208,0,982,-1,0.0,0.0,469,-9
1805,0,9988,-1,0.0,0.0,465,-9
1110,0,421,-1,0.0,0.0,1088,-9
1154,0,590,-1,0.0,0.0,719,-9
1163,0,787,-1,0.0,0.0,871,-9
1164,0,789,-1,0.0,0.0,1142,-9
1081,0,230,-1,0.0,0.0,201,-9
1247,0,1228,-1,0.0,0.0,635,-9
1273,0,2096,-1,0.0,0.0,1155,-9
1790,0,9840,-1,0.0,0.0,1034,-9
1821,0,10212,-1,0.0,0.0,686,-9
1219,0,1069,-1,0.0,0.0,982,-9
1792,0,9920,-1,0.0,0.0,1048,-9
1167,0,852,-1,0.0,0.0,684,-9
1818,0,10213,-1,0.0,0.0,1436,-9
1270,0,2377,-1,0.0,0.0,1156,-9
1775,0,9697,-1,0.0,0.0,437,-9
1081,0,231,-1,0.0,0.0,200,-9
1318,0,4504,-1,0.0,0.0,1177,-9
1320,0,4507,-1,0.0,0.0,1179,-9
1080,0,225,-1,0.0,0.0,290,-9
1316,0,4505,-1,0.0,0.0,1178,-9
1315,0,4502,-1,0.0,0.0,306,-9
1328,0,4541,-1,0.0,0.0,1186,-9
1323,0,4524,-1,0.0,0.0,1184,-9
1289,0,3501,-1,0.0,0.0,1173,-9
1318,0,4512,-1,0.0,0.0,1183,-9
1316,0,4511,-1,0.0,0.0,1182,-9
1314,0,4508,-1,0.0,0.0,1180,-9
1315,0,4510,-1,0.0,0.0,1181,-9
1864,0,43800,-1,0.0,0.0,1474,-9
1343,0,4868,-1,0.0,0.0,316,-9
1345,0,4894,-1,0.0,0.0,923,-9
1321,0,4542,-1,0.0,0.0,318,-9
1321,0,4552,-1,0.0,0.0,319,-9
1322,0,4562,-1,0.0,0.0,925,-9
1315,0,4515,-1,0.0,0.0,308,-9
1319,0,4532,-1,0.0,0.0,311,-9
1320,0,4540,-1,0.0,0.0,1185,-9
1316,0,4518,-1,0.0,0.0,324,-9
1310,0,4448,-1,0.0,0.0,924,-9
1332,0,4711,-1,0.0,0.0,922,-9
1334,0,4862,-1,0.0,0.0,314,-9
1333,0,4869,-1,0.0,0.0,313,-9
1341,0,5091,-1,0.0,0.0,385,-9
1402,0,5732,-1,0.0,0.0,4,-9
1358,0,5312,-1,0.0,0.0,791,-9
1491,0,6641,-1,0.0,0.0,406,-9
1500,0,6705,-1,0.0,0.0,1253,-9
1657,0,8319,-1,0.0,0.0,1363,-9
1489,0,6631,-1,0.0,0.0,408,-9
1357,0,5305,-1,0.0,0.0,409,-9
1356,0,5303,-1,0.0,0.0,405,-9
1490,0,6665,-1,0.0,0.0,1249,-9
1415,0,6017,-1,0.0,0.0,958,-9
1549,0,7271,-1,0.0,0.0,428,-9
1547,0,7257,-1,0.0,0.0,427,-9
1516,0,6990,-1,0.0,0.0,1259,-9
1513,0,6930,-1,0.0,0.0,565,-9
1514,0,6950,-1,0.0,0.0,788,-9
1556,0,7398,-1,0.0,0.0,1295,-9
1071,0,138,-1,0.0,0.0,283,-9
1309,0,4360,-1,0.0,0.0,1174,-9
1087,0,336,-1,0.0,0.0,258,-9
1699,0,9013,-1,0.0,0.0,899,-9
1096,0,385,-1,0.0,0.0,268,-9
1279,0,3344,-1,0.0,0.0,270,-9
1062,0,120,-1,0.0,0.0,912,-9
1090,0,367,-1,0.0,0.0,273,-9
1085,0,331,-1,0.0,0.0,254,-9
1292,0,4098,-1,0.0,0.0,277,-9
1554,0,7442,-1,0.0,0.0,251,-9
1082,0,308,-1,0.0,0.0,231,-9
1070,0,144,-1,0.0,0.0,498,-9
1717,0,9609,-1,0.0,0.0,989,-9
1545,0,7401,-1,0.0,0.0,1296,-9
1073,0,216,-1,0.0,0.0,288,-9
1074,0,217,-1,0.0,0.0,291,-9
1546,0,7408,-1,0.0,0.0,1298,-9
1072,0,213,-1,0.0,0.0,293,-9
1072,0,218,-1,0.0,0.0,197,-9
1073,0,219,-1,0.0,0.0,168,-9
1075,0,234,-1,0.0,0.0,854,-9
1277,0,3518,-1,0.0,0.0,199,-9
1071,0,161,-1,0.0,0.0,1093,-9
1102,0,454,-1,0.0,0.0,765,-9
1559,0,7801,-1,0.0,0.0,1315,-9
1097,0,446,-1,0.0,0.0,750,-9
1098,0,448,-1,0.0,0.0,740,-9
1099,0,458,-1,0.0,0.0,698,-9
1136,0,600,-1,0.0,0.0,1070,-9
1678,0,9123,-1,0.0,0.0,735,-9
1072,0,252,-1,0.0,0.0,484,-9
1099,0,461,-1,0.0,0.0,986,-9
1262,0,3384,-1,0.0,0.0,747,-9
1093,0,438,-1,0.0,0.0,1098,-9
1100,0,474,-1,0.0,0.0,1081,-9
1542,0,7693,-1,0.0,0.0,1310,-9
1067,0,128,-1,0.0,0.0,1132,-9
1068,0,129,-1,0.0,0.0,773,-9
1095,0,449,-1,0.0,0.0,741,-9
1098,0,488,-1,0.0,0.0,739,-9
1100,0,490,-1,0.0,0.0,1102,-9
1123,0,594,-1,0.0,0.0,1095,-9
1041,0,78,-1,0.0,0.0,1080,-9
1118,0,582,-1,0.0,0.0,727,-9
1065,0,127,-1,0.0,0.0,1131,-9
1091,0,442,-1,0.0,0.0,1094,-9
1127,0,697,-1,0.0,0.0,706,-9
1064,0,126,-1,0.0,0.0,769,-9
1062,0,123,-1,0.0,0.0,767,-9
1093,0,489,-1,0.0,0.0,1101,-9
1247,0,3471,-1,0.0,0.0,1171,-9
1041,0,82,-1,0.0,0.0,1118,-9
1084,0,420,-1,0.0,0.0,1136,-9
1084,0,435,-1,0.0,0.0,754,-9
1088,0,466,-1,0.0,0.0,1096,-9
1522,0,7691,-1,0.0,0.0,1309,-9
1086,0,464,-1,0.0,0.0,746,-9
1542,0,7992,-1,0.0,0.0,1328,-9
1362,0,5958,-1,0.0,0.0,946,-9
1364,0,5991,-1,0.0,0.0,819,-9
1541,0,7996,-1,0.0,0.0,1330,-9
1542,0,8062,-1,0.0,0.0,1344,-9
1310,0,5351,-1,0.0,0.0,511,-9
1626,0,8747,-1,0.0,0.0,513,-9
1588,0,8344,-1,0.0,0.0,1366,-9
1589,0,8345,-1,0.0,0.0,1367,-9
1604,0,8409,-1,0.0,0.0,1380,-9
1288,0,5037,-1,0.0,0.0,960,-9
1643,0,9357,-1,0.0,0.0,1413,-9
1117,0,829,-1,0.0,0.0,470,-9
1118,0,831,-1,0.0,0.0,967,-9
1688,0,10009,-1,0.0,0.0,455,-9
1697,0,10138,-1,0.0,0.0,442,-9
1131,0,939,-1,0.0,0.0,670,-9
1687,0,10056,-1,0.0,0.0,1430,-9
1692,0,10087,-1,0.0,0.0,1434,-9
1141,0,960,-1,0.0,0.0,434,-9
1157,0,1020,-1,0.0,0.0,969,-9
1117,0,834,-1,0.0,0.0,964,-9
1204,0,1268,-1,0.0,0.0,639,-9
1707,0,41004,-1,0.0,0.0,1449,-9
1198,0,1256,-1,0.0,0.0,1029,-9
1696,0,10276,-1,0.0,0.0,1440,-9
1698,0,10283,-1,0.0,0.0,1442,-9
1187,0,1199,-1,0.0,0.0,620,-9
1182,0,1178,-1,0.0,0.0,1147,-9
1188,0,1204,-1,0.0,0.0,648,-9
1147,0,975,-1,0.0,0.0,1041,-9
1186,0,1206,-1,0.0,0.0,610,-9
1660,0,9836,-1,0.0,0.0,1036,-9
1687,0,10216,-1,0.0,0.0,1438,-9
1136,0,951,-1,0.0,0.0,598,-9
1643,0,9590,-1,0.0,0.0,597,-9
1140,0,962,-1,0.0,0.0,609,-9
1149,0,980,-1,0.0,0.0,636,-9
1648,0,9780,-1,0.0,0.0,650,-9
1190,0,1258,-1,0.0,0.0,599,-9
1197,0,1299,-1,0.0,0.0,1031,-9
1185,0,1218,-1,0.0,0.0,624,-9
1643,0,9783,-1,0.0,0.0,1035,-9
1186,0,1236,-1,0.0,0.0,644,-9
1187,0,1246,-1,0.0,0.0,1049,-9
1648,0,9819,-1,0.0,0.0,647,-9
1635,0,9569,-1,0.0,0.0,590,-9
1178,0,1190,-1,0.0,0.0,600,-9
1184,0,1212,-1,0.0,0.0,607,-9
1187,0,1259,-1,0.0,0.0,641,-9
1189,0,1264,-1,0.0,0.0,643,-9
1190,0,1267,-1,0.0,0.0,1030,-9
1650,0,9961,-1,0.0,0.0,638,-9
1179,0,1194,-1,0.0,0.0,589,-9
1666,0,10257,-1,0.0,0.0,623,-9
1611,0,9262,-1,0.0,0.0,617,-9
1181,0,1210,-1,0.0,0.0,616,-9
1663,0,10256,-1,0.0,0.0,1038,-9
1664,0,10282,-1,0.0,0.0,1441,-9
1185,0,1273,-1,0.0,0.0,1148,-9
1141,0,965,-1,0.0,0.0,593,-9
1179,0,1198,-1,0.0,0.0,595,-9
1663,0,10298,-1,0.0,0.0,1443,-9
1664,0,10307,-1,0.0,0.0,1444,-9
1188,0,1386,-1,0.0,0.0,1028,-9
1608,0,9278,-1,0.0,0.0,606,-9
1178,0,1200,-1,0.0,0.0,608,-9
1179,0,1249,-1,0.0,0.0,656,-9
1620,0,9547,-1,0.0,0.0,634,-9
1177,0,1192,-1,0.0,0.0,1027,-9
1183,0,1320,-1,0.0,0.0,1151,-9
1631,0,9901,-1,0.0,0.0,1039,-9
1176,0,1163,-1,0.0,0.0,625,-9
1180,0,1287,-1,0.0,0.0,1149,-9
1160,0,1057,-1,0.0,0.0,683,-9
1161,0,1063,-1,0.0,0.0,1062,-9
1156,0,1037,-1,0.0,0.0,591,-9
1174,0,1231,-1,0.0,0.0,637,-9
1177,0,1313,-1,0.0,0.0,618,-9
1174,0,1270,-1,0.0,0.0,640,-9
1595,0,9263,-1,0.0,0.0,1026,-9
1596,0,9302,-1,0.0,0.0,649,-9
1173,0,1263,-1,0.0,0.0,642,-9
1139,0,961,-1,0.0,0.0,676,-9
1174,0,1330,-1,0.0,0.0,586,-9
1608,0,9693,-1,0.0,0.0,1025,-9
1157,0,1056,-1,0.0,0.0,1061,-9
1171,0,1315,-1,0.0,0.0,1150,-9
1651,0,41450,-1,0.0,0.0,612,-9
1609,0,9806,-1,0.0,0.0,584,-9
1175,0,2082,-1,0.0,0.0,1154,-9
1610,0,9865,-1,0.0,0.0,1424,-9
1646,0,41421,-1,0.0,0.0,1454,-9
1131,0,945,-1,0.0,0.0,1054,-9
1642,0,41413,-1,0.0,0.0,1450,-9
1643,0,41414,-1,0.0,0.0,1451,-9
1611,0,9992,-1,0.0,0.0,1056,-9
1613,0,9995,-1,0.0,0.0,1426,-9
1615,0,9997,-1,0.0,0.0,1428,-9
1132,0,947,-1,0.0,0.0,668,-9
1611,0,9994,-1,0.0,0.0,1425,-9
1612,0,9996,-1,0.0,0.0,1427,-9
1151,0,1034,-1,0.0,0.0,1055,-9
1596,0,9533,-1,0.0,0.0,677,-9
1144,0,991,-1,0.0,0.0,1057,-9
1615,0,10070,-1,0.0,0.0,1432,-9
1149,0,1032,-1,0.0,0.0,1143,-9
1635,0,41822,-1,0.0,0.0,1457,-9
1634,0,41821,-1,0.0,0.0,1456,-9
1634,0,41823,-1,0.0,0.0,1458,-9
1633,0,41820,-1,0.0,0.0,1455,-9
1633,0,41824,-1,0.0,0.0,1459,-9
1634,0,41825,-1,0.0,0.0,1460,-9
1082,0,416,-1,0.0,0.0,1135,-9
1678,0,44091,-1,0.0,0.0,1483,-9
