,type,de,para,zmed,prec,i_de,i_para
1228,0,1069,-1,0.0,0.0,982,-9
1856,0,10213,-1,0.0,0.0,1436,-9
1281,0,2377,-1,0.0,0.0,1156,-9
1811,0,9697,-1,0.0,0.0,437,-9
1168,0,814,-1,0.0,0.0,433,-9
1168,0,819,-1,0.0,0.0,968,-9
1282,0,2477,-1,0.0,0.0,474,-9
1082,0,231,-1,0.0,0.0,200,-9
1330,0,4504,-1,0.0,0.0,1177,-9
1332,0,4507,-1,0.0,0.0,1179,-9
1166,0,790,-1,0.0,0.0,180,-9
1080,0,225,-1,0.0,0.0,290,-9
1326,0,4502,-1,0.0,0.0,306,-9
1340,0,4541,-1,0.0,0.0,1186,-9
1372,0,5091,-1,0.0,0.0,385,-9
1387,0,5302,-1,0.0,0.0,1201,-9
1390,0,5312,-1,0.0,0.0,791,-9
1436,0,5732,-1,0.0,0.0,4,-9
1435,0,5731,-1,0.0,0.0,1211,-9
1529,0,6641,-1,0.0,0.0,406,-9
1539,0,6705,-1,0.0,0.0,1253,-9
1558,0,6930,-1,0.0,0.0,565,-9
1309,0,4098,-1,0.0,0.0,277,-9
1609,0,7401,-1,0.0,0.0,1296,-9
1072,0,144,-1,0.0,0.0,498,-9
1788,0,9609,-1,0.0,0.0,989,-9
1071,0,138,-1,0.0,0.0,283,-9
1088,0,336,-1,0.0,0.0,258,-9
1757,0,9013,-1,0.0,0.0,899,-9
1083,0,308,-1,0.0,0.0,231,-9
1086,0,331,-1,0.0,0.0,254,-9
1074,0,216,-1,0.0,0.0,288,-9
1075,0,217,-1,0.0,0.0,291,-9
1604,0,7408,-1,0.0,0.0,1298,-9
1074,0,218,-1,0.0,0.0,197,-9
1075,0,219,-1,0.0,0.0,168,-9
1078,0,234,-1,0.0,0.0,854,-9
1292,0,3518,-1,0.0,0.0,199,-9
1072,0,161,-1,0.0,0.0,1093,-9
1110,0,454,-1,0.0,0.0,765,-9
1619,0,7801,-1,0.0,0.0,1315,-9
1105,0,446,-1,0.0,0.0,750,-9
