barrasobs
5060
8400
44822
8475
5045
6349
6360
6075
8386
8980
6060
6359
6221
6220
6500
6291
6738
6290
8194
5001
5861
5860
8219
6444
6796
8714
44827
8383
6300
44494
8377
5318
5451
5380
5408
5370
5428
5480
5176
3699
233
3035
3034
3032
90
2590
9444
4531
9441
1084
3025
3007
299
3518
235
6700
5684
5391
8011
8007
6001
5591
5590
5550
5541
5540
5581
5580
5649
4070
4349
4050
4358
320
3010
4352
7784
4071
9016
4075
4311
4350
325
326
9506
341
344
349
4598
4353
360
385
3008
4051
4049
4351
391
370
102
380
210
100
1089
1025
1077
4684
4515
4514
4495
4862
4700
7736
4565
4494
4517
4582
4720
6489
6471
6561
6440
6661
6660
6400
6710
6754
6416
6430
6461
8100
5200
7979
7978
7980
8396
5100
5090
5180
5140
5050
5511
6640
7190
8198
5699
6743
8338
5679
5436
5570
8167
5500
878
934
933
959
954
896
897
10136
10009
10008
978
873
886
10140
1106
999
1028
1027
868
10003
856
1047
1060
60
10134
9607
52
105
9626
147
3966
9608
9605
5350
8205
6184
8115
8116
5960
5989
6132
6130
8374
5019
5041
6131
8658
8154
6143
8632
6141
6142
8895
8142
6783
8148
8145
6168
8151
8657
8643
44493
8207
8791
5926
8290
6900
6930
6880
7054
6840
6870
6820
6890
6800
1036
964
9951
972
973
976
1210
974
9820
980
1045
9738
9739
946
938
956
955
9533
950
995
536
668
439
559
7058
7057
589
552
556
453
478
492
561
574
584
608
549
581
610
609
540
585
538
488
539
27
3110
565
545
7734
573
563
593
567
413
101
103
126
72
122
6609
77
570
547
491
7300
7204
7113
7100
5594
5360
5720
8500
8220
6070
5325
6369
8213
6501
6772
6623
5292
3019
149
9450
7079
4570
5430
5531
6712
5688
5695
5645
5510
384
390
378
398
4076
4065
4028
4332
3389
3061
3021
9440
3011
1503
1090
4599
4562
4583
6491
6481
6460
6560
7200
5836
10001
872
834
895
824
9542
61
10000
66
65
9601
1781
598
87
6140
5168
6101
5128
6103
6146
8650
5814
8307
6210
8645
8663
8639
8892
7055
997
979
9818
9822
1055
1074
1030
949
996
530
495
572
487
562
527
414
586
9102
599
1076
542
3383
423
76
7112
62
63
64
69
70
71
73
74
75
92
93
94
99
104
112
113
114
115
117
125
130
580
1102
1108
1898
3005
3006
3050
3432
3438
3448
3480
4496
4497
4563
4574
4578
4579
4588
4591
4595
5437
5572
5575
5577
5734
5841
6080
6082
6296
6298
6299
6410
6442
6443
6445
6446
6487
6507
6509
6510
6511
6512
6513
6514
6515
6517
6701
6702
6703
6893
6898
6899
6934
7059
7101
7102
7103
7104
7105
7197
7201
7203
7209
7235
7236
7237
7238
7301
7302
7303
7304
7305
7306
7407
7410
7412
7448
7536
7568
7584
7591
7593
7663
7716
7732
7749
7789
7816
7818
7819
7820
7821
7822
7823
7922
7923
7995
8101
8102
8403
8404
8405
8406
8755
8770
9304
9435
9478
9479
9482
10055
10069
10081
10094
10215
10216
10355
10399
10425
10426
41415
41416
41948
43421
43422
43672
43673
43797
43798
43799
43952
43954
43955
43956
43957
43958
43959
44098
44099
44307
44352
44353
44355
44356
44358
44504
44505
44506
44531
44537
44546
44554
44578
44583
44596
44601
44604
44636
44640
44641
44671
44700
44783
44790
44794
44807
44812
44940
44941
44945
44946
44947
44978
45016
45018
45019
45020
45021
45025
45030
45031
45032
45057
45102
45164
45198
45201
45204
45207
45220
45223
45270
45305
45306
45307
45358
45371
45542
45545
45548
45551
45599
45625
45682
45699
45710
45729
45751
45762
45773
45778
45791
45828
45919
4930
44821
42378
42356
4354
43551
7080
43559
5096
5597
1116
4945
7550
7265
6476
9496
58
44066
44062
7566
41301
43870
10082
43028
4580
42370
6689
393
43425
42176
41271
7249
42202
42318
5552
44021
8464
8976
43042
41877
44009
44011
42100
GPS
